norm_title,pages,domains,sample_urls
future health today,4,1,https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/research/research-groups/data-driven-quality-improvement2/themes/future-health-today ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/research/community-involvement/groups/fht ; https://medicine.unimelb.edu.au/research-groups/general-practice-and-primary-care-research/data-driven-quality-improvement/future-health-today2 ; https://medicine.unimelb.edu.au/research-groups/medicine-research/western-hospital/western-health-endocrinology-and-diabetes-research-group/effects-of-parathyroid-disease-on-bone-health
maker spaces,4,1,https://msd.unimelb.edu.au/study-with-us/why-choose-design/maker-spaces ; https://msd.unimelb.edu.au/maker-spaces ; https://msd.unimelb.edu.au/maker-spaces/academic-engagement ; https://msd.unimelb.edu.au/maker-spaces/teaching-and-academia-inquiry
exlab experimental furniture futures,4,1,https://msd.unimelb.edu.au/maker-spaces/machine-workshop/assets/workshop-news/exlab ; https://msd.unimelb.edu.au/maker-spaces/fablab/assets/fab-lab-news/exlab-experimental-furniture-futures ; https://msd.unimelb.edu.au/public-programs/online-collections/exhibitions/design-making-making-design/ex-lab-experimental-furniture-futures ; https://msd.unimelb.edu.au/addf/teaching/ex_lab-abpl90361
drop,4,2,https://msd.unimelb.edu.au/maker-spaces/next-lab/main/events/drop-in-tech-session-academic-staff4 ; https://msd.unimelb.edu.au/maker-spaces/next-lab/main/events/drop-in-tech-session-academic-staff3 ; https://msd.unimelb.edu.au/maker-spaces/next-lab/main/events/drop-in-tech-session-students3 ; https://students.unimelb.edu.au/student-life/campuses-and-facilities/research-study-and-activity-spaces/studying-on-campus/study-spaces
studio 3,4,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-3 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM1-Studios/studio-3 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-3 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM2-Studios/studio-3
studio 4,4,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-4 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM1-Studios/studio-4 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-4 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM2-Studios/studio-4
studio 6,4,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-6 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM1-Studios/studio-6 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-6 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM2-Studios/studio-6
studio 7,4,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-7 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM1-Studios/studio-7 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-7 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM2-Studios/studio-7
studio 22,4,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-22 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-22 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-22 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2021/CDE-2021_SM1-Studios/studio-22
studio 23,4,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-23 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-23 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-23 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2021/CDE-2021_SM1-Studios/studio-23
studio 38,4,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-38 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-38 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-38 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-38
studio 39,4,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-39 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-39 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-39 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-39
studio 40,4,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-40 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-40 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM2-Studios/studio-40 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2021/CDE-2021_SM1-Studios/studio-40
studio 27,4,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-27 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-27 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-27 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2021/CDE-2021_SM1-Studios/studio-27
studio 44,4,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-44 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-44 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM2-Studios/studio-44 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2021/CDE-2021_SM1-Studios/studio-44
pastoral and spiritual care,4,2,https://services.unimelb.edu.au/chaplains/home ; https://students.unimelb.edu.au/student-support/health-and-wellbeing/faith-and-spirituality ; https://students.unimelb.edu.au/support-and-wellbeing/health-and-wellbeing/faith-and-spirituality ; https://students.unimelb.edu.au/support-and-wellbeing/health-and-wellbeing/faith-and-spirituality?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~
academic transcripts and statements,4,1,https://students.unimelb.edu.au/admin/academic-statements ; https://students.unimelb.edu.au/course-admin/academic-transcripts-and-statements ; https://students.unimelb.edu.au/course-admin/academic-transcripts-and-statements?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/your-course/manage-your-course/exams-assessments-and-results/results-and-academic-statements/academic-transcripts-and-statements
student complaints,4,1,https://students.unimelb.edu.au/campus-life/policy-and-conduct/student-complaints-and-grievances ; https://students.unimelb.edu.au/student-life/policy-and-conduct/student-complaints-and-grievances ; https://students.unimelb.edu.au/student-life/rights-and-responsibilities/student-complaints ; https://students.unimelb.edu.au/student-life/rights-and-responsibilities/student-complaints-and-grievances
study load,4,1,https://students.unimelb.edu.au/course-admin/?external-uuid=9ecc9287-6243-46bc-8c66-a9a93e40871e ; https://students.unimelb.edu.au/course-admin/planning-your-course-and-subjects/study-load ; https://students.unimelb.edu.au/course-admin/planning-your-course-and-subjects/study-load?SQ_VARIATION_3164566=0 ; https://students.unimelb.edu.au/your-course/manage-your-course/planning-your-course-and-subjects/study-load
class timetable key dates,4,1,https://students.unimelb.edu.au/course-admin/class-timetable/timetable-dates ; https://students.unimelb.edu.au/course-admin/class-timetable/timetable-dates?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/your-course/manage-your-course/class-timetable/timetable-dates ; https://students.unimelb.edu.au/your-course/manage-your-course/class-timetable/timetable-dates?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~
timetabling assistance form,4,1,https://students.unimelb.edu.au/course-admin/class-timetable/timetabling-assistance-form ; https://students.unimelb.edu.au/course-admin/class-timetable/timetabling-assistance-form?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/your-course/manage-your-course/class-timetable/timetable-help/timetabling-assistance-form ; https://students.unimelb.edu.au/your-course/manage-your-course/class-timetable/timetabling-assistance-form
enrolment assistance,4,1,https://students.unimelb.edu.au/course-admin/enrolment-assistance ; https://students.unimelb.edu.au/your-course/manage-your-course/course-enrolment/enrolment-assistance ; https://students.unimelb.edu.au/your-course/manage-your-course/course-enrolment/enrolment-assistance?in_c=sinfo-results.source~students.medium~alertbox.content~reenrol ; https://students.unimelb.edu.au/your-course/manage-your-course/subject-enrolment/enrolment-assistance
short extensions,4,1,https://students.unimelb.edu.au/course-admin/extensions ; https://students.unimelb.edu.au/course-admin/extensions?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/course-admin/extensions?in_c=sinfo-adminassessments.source~students.medium~web-notice.content~special-consideration ; https://students.unimelb.edu.au/your-course/manage-your-course/extensions
graduation,4,1,https://students.unimelb.edu.au/course-admin/graduation ; https://students.unimelb.edu.au/course-admin/graduation?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/support-and-wellbeing/stop-1/categories/graduation ; https://students.unimelb.edu.au/your-course/manage-your-course/graduation
current students key dates,4,1,https://students.unimelb.edu.au/course-admin/key-dates ; https://students.unimelb.edu.au/course-admin/key-dates?in_c=sinfo-homepage-quick-links~source=students~medium=pathfinder~content=key-dates ; https://students.unimelb.edu.au/your-course/manage-your-course/key-dates ; https://students.unimelb.edu.au/your-course/manage-your-course/key-dates?in_c=sinfo-homepage-quick-links~source=students~medium=pathfinder~content=key-dates
planning your course and subjects,4,1,https://students.unimelb.edu.au/course-admin/planning-your-course-and-subjects ; https://students.unimelb.edu.au/course-admin/planning-your-course-and-subjects?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/your-course/manage-your-course/planning-your-course-and-subjects ; https://students.unimelb.edu.au/your-course/manage-your-course/planning-your-course-and-subjects?in_c=sinfo-re-enrolment-S1-25.source~students.medium~page_link.content~
semester and year,4,1,https://students.unimelb.edu.au/course-admin/study-overseas/explore-study-programs/semester-and-year-long-programs ; https://students.unimelb.edu.au/course-admin/study-overseas/step-by-step-guides/semester-and-year-long-programs ; https://students.unimelb.edu.au/your-course/study-overseas/explore-study-programs/semester-and-year-long-programs ; https://students.unimelb.edu.au/your-course/study-overseas/step-by-step-guides/semester-and-year-long-programs
transferring courses,4,2,https://students.unimelb.edu.au/course-admin/transferring-courses ; https://students.unimelb.edu.au/course-admin/transferring-courses?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/your-course/manage-your-course/course-enrolment/transferring-courses ; https://study.unimelb.edu.au/how-to-apply/transferring-courses
apply for a student visa,4,1,https://students.unimelb.edu.au/sandbox/2026-uplifts/student-visas/apply-for-a-student-visa ; https://students.unimelb.edu.au/student-support/international-student-support/visas/applying-for-a-student-visa ; https://students.unimelb.edu.au/student-support/international-student-support/visas/applying-for-a-student-visa?in_c=sinfo-NSC|source=students|medium=button ; https://students.unimelb.edu.au/support-and-wellbeing/international-student-support/visas/apply-for-a-student-visa
course planning advice,4,1,https://students.unimelb.edu.au/student-support/advice-and-help/course-advice-and-enrolment-assistance ; https://students.unimelb.edu.au/student-support/advice-and-help/course-planning-advice ; https://students.unimelb.edu.au/student-support/advice-and-help/stop-1/course-advice-and-enrolment-assistance ; https://students.unimelb.edu.au/support-and-wellbeing/course-planning-advice
university health promotion program,4,1,https://students.unimelb.edu.au/student-support/health-and-wellbeing/university-health-promotion-program ; https://students.unimelb.edu.au/student-support/health-and-wellbeing/university-health-promotion-program?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/support-and-wellbeing/health-and-wellbeing/university-health-promotion-program ; https://students.unimelb.edu.au/support-and-wellbeing/health-and-wellbeing/university-health-promotion-program?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~
2 register for ongoing support,4,1,https://students.unimelb.edu.au/student-support/student-equity-and-disability-services/registration-for-ongoing-support ; https://students.unimelb.edu.au/student-support/student-equity-and-disability-support/registration-for-ongoing-support ; https://students.unimelb.edu.au/support-and-wellbeing/student-equity-and-disability-services/registration-for-ongoing-support ; https://students.unimelb.edu.au/your-course/manage-your-course/exams-assessments-and-results/special-consideration/ongoing-support
access melbourne,4,1,https://study.unimelb.edu.au/how-to-apply/equity-entry-schemes/access-melbourne-undergraduate ; https://study.unimelb.edu.au/how-to-apply/special-entry-access-schemes/access-melbourne-undergraduate ; https://study.unimelb.edu.au/how-to-apply/equity-entry-schemes/access-melbourne-undergraduate/access-melbourne-eligibility ; https://study.unimelb.edu.au/how-to-apply/special-entry-access-schemes/access-melbourne-undergraduate/access-melbourne-eligibility
key information for vtac applicants,4,1,https://study.unimelb.edu.au/study-with-us/undergraduate-courses/change-of-preference/key-dates ; https://study.unimelb.edu.au/study-with-us/undergraduate-courses/change-of-preference/interstate ; https://study.unimelb.edu.au/change-of-preference/key-dates ; https://study.unimelb.edu.au/study-with-us/undergraduate-courses/change-of-preference/key-information-VTAC-applicants
